issuer,contract,function,call_count,sum_runtime,pct_run_runtime,sum_read_count,pct_run_read_count,sum_read_length,pct_run_read_length,sum_write_count,pct_run_write_count,sum_write_length,pct_run_write_length,max_block_runtime,max_block_read_count,max_block_read_length,max_block_write_count,max_block_write_length,max_axis_share_pct
SP1SATBEBG20HT1J9YNEXN2SPT7Q82H29P8AXKF0K,gl-api,close,25,19319953298,39.4,12206,1.33,28085423,2.13,253,0.55,36478,1.25,1543829487,836,1980361,11,1586,39.4
SP1SATBEBG20HT1J9YNEXN2SPT7Q82H29P8AXKF0K,gl-api,open,23,17749989835,36.2,10164,1.11,22842064,1.73,345,0.75,50077,1.71,771765785,444,994038,15,2314,36.2
SP28WXEA1SKAX69TKEE6ZQS57DRDB2A6FCF8D5F53,rewards-dual-stacking-zest-v1,compute-current-snapshot-balances,30,795425561,1.62,147311,16.02,443506143,33.58,11373,24.77,857280,29.31,37774975,7523,22735827,802,60436,33.58
SP9B1S44NK7SHZX4KX3HW1DXJXZFM4QJH9YHV746,rewards-dual-stacking-bitflow-v1,compute-current-snapshot-balances,41,730203776,1.49,216209,23.51,379064408,28.7,2881,6.28,215258,7.36,18456872,5329,9453485,71,5353,28.7
SP21EK0KSQG7HEHBGCVRJGPGFMV8SCA2B85X01DK2,blocksurvey-proof-of-submission,proof-of-submission,1453,69490759,0.14,21795,2.37,10744761,0.81,7265,15.83,435900,14.9,191332,60,29580,20,1200,15.83
SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9,dual-stacking-v1,capture-snapshot-balances,5,153728848,0.31,49109,5.34,57306681,4.34,2454,5.35,227466,7.78,38311763,12290,14375306,602,55831,7.78
SPQC38PW542EQJ5M11CR25P7BS1CA6QT4TBXGB3M,stableswap-stx-ststx-v-1-2,swap-x-for-y,19,400285445,0.82,22382,2.43,1604056,0.12,133,0.29,9500,0.32,21067655,1178,84424,7,500,2.43
SP1413DDVECH9RVTZ13TT2V4X2Q2B6E8TZEMQG7MH,rewards-dual-stacking-granite,compute-current-snapshot-balances,3,30435969,0.06,4923,0.54,14397261,1.09,819,1.78,61662,2.11,14904235,2409,7045231,401,30218,2.11
SP06ARSREC0N9AKZABRP23SXS62TWJ6KWPVDQHVX,bt,l,15,326461824,0.67,19173,2.08,4390287,0.33,408,0.89,16815,0.57,21884108,1295,327429,32,1425,2.08
SP6XGBDAD800GGY6XF48AC27467W9PEHA6EPBGKJ,test-zest-interface-hbtc-v4,zest-borrow,4,369147004,0.75,5448,0.59,27157292,2.06,60,0.13,15944,0.55,92286751,1362,6789323,15,3986,2.06
SPQC38PW542EQJ5M11CR25P7BS1CA6QT4TBXGB3M,stableswap-stx-ststx-v-1-2,swap-y-for-x,14,294545062,0.6,16492,1.79,1181936,0.09,98,0.21,7000,0.24,21038933,1178,84424,7,500,1.79
SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N,borrow-helper-v2-1-7,withdraw,5,428140537,0.87,4287,0.47,21436833,1.62,81,0.18,19473,0.67,86670905,985,4696292,17,3965,1.62
SP2FGHFNGMH6NF2427Y20271Q6CKJ67FDX2V2JG6X,cross-peg-in-v2-04c-swap,transfer-to-cross-swap,41,62769086,0.13,11603,1.26,18927659,1.43,615,1.34,45879,1.57,3061586,566,923333,30,2238,1.57
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,uvas,ri,3,212682354,0.43,11102,1.21,3158333,0.24,280,0.61,10856,0.37,141140286,7003,1972575,179,7042,1.21
SP6XGBDAD800GGY6XF48AC27467W9PEHA6EPBGKJ,test-zest-interface-hbtc-v4,zest-withdraw,3,266152485,0.54,3051,0.33,14625225,1.11,54,0.12,12066,0.41,88717495,1017,4875075,18,4022,1.11
SP6XGBDAD800GGY6XF48AC27467W9PEHA6EPBGKJ,test-hermetica-interface-hbtc-v4,hermetica-redeem,16,512462576,1.05,1776,0.19,5957392,0.45,48,0.1,32,0.0,32028911,111,372337,3,2,1.05
SP06ARSREC0N9AKZABRP23SXS62TWJ6KWPVDQHVX,w,r,20,177956356,0.36,7719,0.84,6363518,0.48,432,0.94,15563,0.53,25472836,1327,546464,31,1384,0.94
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,xyk-core-v-1-2,swap-x-for-y,88,27888727,0.06,3686,0.4,6525588,0.49,432,0.94,2692,0.09,2099933,281,503884,32,195,0.94
SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR,arkadiko-oracle-v2-3,update-price-multi,63,282886941,0.58,1200,0.13,673077,0.05,310,0.68,26753,0.91,9852046,41,21439,11,946,0.91
SP6XGBDAD800GGY6XF48AC27467W9PEHA6EPBGKJ,test-zest-interface-hbtc-v4,zest-supply,4,21680176,0.04,2376,0.26,11883796,0.9,56,0.12,14148,0.48,5420044,594,2970949,14,3537,0.9
SP1G48FZ4Y7JY8G2Z0N51QTCYGBQ6F4J43J77BQC0,dia-oracle,set-multiple-values,54,7084240,0.01,590,0.06,96552,0.01,374,0.81,26290,0.9,185198,14,1788,10,703,0.9
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,sagy,rm,3,30862928,0.06,3144,0.34,4815006,0.36,384,0.84,12525,0.43,30862928,3144,4815006,384,12525,0.84
SP2Z0V6KWDW82V6YDHHKH6E8M010PWEXAPX711XWR,BATCH,multi-send,180,4959612,0.01,917,0.1,53657,0.0,377,0.82,377,0.01,67062,9,302,6,6,0.82
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,nabs,rt,2,118306115,0.24,6947,0.76,1900484,0.14,194,0.42,6465,0.22,114842302,6682,1511300,155,5310,0.76
SP06ARSREC0N9AKZABRP23SXS62TWJ6KWPVDQHVX,h,a,6,111082430,0.23,6896,0.75,2148353,0.16,166,0.36,5294,0.18,21898053,1326,610895,29,1385,0.75
