span_id,context,name,call_count,sample_count,sampling_rate,wall_ms,self_wall_ms,self_cpu_ms,avg_self_wall_us,avg_self_cpu_us
24,clarity::vm,lookup_function,11212856,11212856,1.0,4344.06,4344.06,4349.41,0.3874,0.3879
110,clarity::vm,lookup_variable,10372089,10372089,1.0,7471.75,7471.75,7470.33,0.7204,0.7202
12,blockstack_lib::chainstate::stacks::index::marf::MARF,walk_backptr,7679280,7679280,1.0,284222.12,1749.63,1681.33,0.2278,0.2189
13,blockstack_lib::chainstate::stacks::index::trie::Trie,walk_backptr,7679280,7679280,1.0,282472.49,282092.32,77560.41,36.7342,10.1
23,clarity::vm::callables::DefinedFunction,canonicalize_types,4933881,4933881,1.0,709.29,709.29,708.89,0.1438,0.1437
8,blockstack_lib::chainstate::stacks::index::marf::MARF,get_by_key,3325849,3325849,1.0,307367.03,1419.85,1416.66,0.4269,0.426
9,blockstack_lib::chainstate::stacks::index::marf::MARF,get_path,3325849,3325849,1.0,305929.22,4061.5,2101.43,1.2212,0.6318
10,blockstack_lib::chainstate::stacks::index::marf::MARF,walk,3325849,3325849,1.0,301554.15,54294.37,33658.13,16.325,10.1202
114,clarity::builtin,get,2696498,2696498,1.0,51074.54,1833.67,1832.18,0.68,0.6795
158,clarity::builtin,*,2497447,2497447,1.0,946.19,946.19,945.8,0.3789,0.3787
27,"clarity_types::types::serialization::<impl clarity_types::types::Value>",serialize_write,1616496,1616496,1.0,277.42,215.41,215.03,0.1333,0.133
7,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,get,1611733,1611733,1.0,121201.74,377.88,376.83,0.2345,0.2338
49,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,get_data,1529823,1529823,1.0,120990.08,818.39,803.45,0.535,0.5252
14,clarity::vm::database::sqlite::SqliteConnection,get,1513808,1513808,1.0,8590.03,8590.03,4406.98,5.6745,2.9112
131,clarity::builtin,+,1328042,1328042,1.0,513.53,513.53,513.45,0.3867,0.3866
160,clarity::builtin,/,927870,927870,1.0,362.29,362.29,362.45,0.3905,0.3906
21,blockstack_lib::chainstate::stacks::index::marf::MARF,get_block_at_height,833193,833193,1.0,185104.16,562.83,560.05,0.6755,0.6722
84,blockstack_lib::chainstate::stacks::index::storage::TrieRAM,calculate_node_hashes,677524,677524,1.0,58811.4,20653.91,20284.77,30.4844,29.9396
4,clarity::vm::database::clarity_db::ClarityDatabase,get_data,666634,666634,1.0,47020.62,165.84,167.33,0.2488,0.251
5,clarity::vm::database::key_value_wrapper::RollbackWrapper,get_data,666634,666634,1.0,46854.78,216.27,214.51,0.3244,0.3218
28,clarity::vm::database::clarity_db::ClarityDatabase,get_value,557280,557280,1.0,58340.79,121.17,121.57,0.2174,0.2182
29,clarity::vm::database::key_value_wrapper::RollbackWrapper,get_value,557280,557280,1.0,58219.61,270.78,270.11,0.4859,0.4847
138,clarity::builtin,if,557062,557062,1.0,491123.13,877.96,876.15,1.5761,1.5728
111,clarity::builtin,is-eq,543780,543780,1.0,465.83,351.86,351.94,0.6471,0.6472
11,blockstack_lib::chainstate::stacks::index::trie_sql,get_external_trie_offset_length,519477,64935,0.125,1609.38,1609.38,1558.23,3.0981,2.9996
30,"clarity_types::types::serialization::<impl clarity_types::types::Value>",deserialize_read_count,512843,512843,1.0,191.22,191.22,190.95,0.3729,0.3723
62,blockstack_lib::chainstate::stacks::index::trie_sql,get_block_hash,472146,472146,1.0,1319.91,1319.91,1255.5,2.7956,2.6591
136,clarity::builtin,let,460901,460901,1.0,613736.53,5722.8,5703.91,12.4166,12.3756
129,clarity::builtin,var-get,457162,457162,1.0,22178.92,324.8,324.56,0.7105,0.7099
130,clarity::vm::database::clarity_db::ClarityDatabase,lookup_variable_with_size,457162,457162,1.0,21854.12,362.37,362.34,0.7927,0.7926
86,blockstack_lib::chainstate::stacks::index::storage::TrieStorageConnection,read_node_hash_bytes,414000,51750,0.125,1133.14,-6739.71,-2869.69,-16.2795,-6.9316
87,blockstack_lib::chainstate::stacks::index::file::TrieFile,get_node_hash_bytes,414000,414000,1.0,984.11,982.51,417.97,2.3732,1.0096
142,clarity::builtin,-,402592,402592,1.0,163.14,163.14,163.13,0.4052,0.4052
17,clarity::vm::database::key_value_wrapper::RollbackWrapper,get_metadata,393531,393531,1.0,51800.63,125.3,124.28,0.3184,0.3158
22,clarity::vm::database::sqlite::SqliteConnection,get_metadata,393355,393355,1.0,2241.78,2241.78,1924.92,5.6991,4.8936
16,clarity::vm::database::clarity_db::ClarityDatabase,fetch_metadata,393206,393206,1.0,65998.09,14355.92,14346.18,36.5099,36.4852
54,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,get_block_at_height,390515,390515,1.0,27122.73,92.92,94.11,0.2379,0.241
52,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,get_metadata,384518,384518,1.0,48938.81,393.68,386.01,1.0238,1.0039
53,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,get_contract_hash,384518,384518,1.0,46393.37,427.89,426.77,1.1128,1.1099
37,blockstack_lib::chainstate::stacks::index::marf::MARF,extend_trie,273429,273429,1.0,1434.11,1189.38,1191.11,4.3499,4.3562
38,blockstack_lib::chainstate::stacks::index::trie_sql,count_blocks,273429,34178,0.125,830.81,830.81,834.11,3.0385,3.0506
45,blockstack_lib::chainstate::stacks::index::marf::MARF,do_insert_leaf,255429,255429,1.0,39192.1,575.46,575.03,2.2529,2.2512
46,blockstack_lib::chainstate::stacks::index::marf::MARF,walk_cow,255429,255429,1.0,38616.64,658.04,652.76,2.5762,2.5556
44,blockstack_lib::chainstate::stacks::index::marf::MARF,insert_leaf_in_batch,198109,198109,1.0,38877.21,51.58,51.24,0.2604,0.2587
421,clarity::user::private,D-for-loop,195072,195072,1.0,19019.27,405.1,404.86,2.0767,2.0754
115,clarity::builtin,tuple,180777,180777,1.0,22777.5,515.57,514.17,2.852,2.8442
175,clarity::dispatch,begin-read-only-tx,168482,168482,1.0,374448.02,450.56,449.72,2.6742,2.6693
15,clarity::vm::database::clarity_db::ClarityDatabase,get_contract,163595,163595,1.0,44878.8,634.17,623.18,3.8765,3.8093
61,blockstack_lib::chainstate::stacks::index::trie_sql,read_node_type_nohash,162457,20307,0.125,1190.52,1190.52,1104.81,7.3282,6.8006
31,blockstack_lib::chainstate::stacks::index::trie_sql,get_block_identifier,133139,16642,0.125,4393.75,4393.75,690.83,33.0012,5.1888
